step_id,model_type,scenario_id,latency_ms,emotional_valence,coherence_score,planning_effectiveness,behavioral_alignment,fact_recall,rule_adherence,persona_consistency,emotional_trajectory,sensory_integration,decision_consistency,memory_hits
13,BrainCEMISID,Operation:_Stratosphere_Zero,33095.2768,1,5,3,2,6,4,3,2,2,3,2
13,Brain_No_Memory,Operation:_Stratosphere_Zero,18599.7,1,7,4,5,8,6,6,5,3,7,2
13,Brain_No_Emotion,Operation:_Stratosphere_Zero,28158.1276,0,9,9,8,10,10,8,7,1,10,2
13,Baseline,Operation:_Stratosphere_Zero,3721.4036,0.5,3,2,2,4,1,1,2,1,3,0
1,BrainCEMISID,The_Best_Man’s_Toast,29767.2642,0.4,10,10,10,10,10,10,9,4,10,2
1,Brain_No_Memory,The_Best_Man’s_Toast,17681.4776,0.4,9,10,10,8,9,10,9,3,9,2
1,Brain_No_Emotion,The_Best_Man’s_Toast,26215.0683,0,10,10,10,10,10,8,8,3,10,2
1,Baseline,The_Best_Man’s_Toast,3704.5696,0.5,4,3,2,5,3,1,3,1,3,0
2,BrainCEMISID,The_Best_Man’s_Toast,31250.0416,0.7,9,9,9,8,10,10,10,6,10,2
2,Brain_No_Memory,The_Best_Man’s_Toast,17747.2767,0.7,8,4,9,5,7,10,9,6,7,2
2,Brain_No_Emotion,The_Best_Man’s_Toast,26664.1562,0,10,10,10,1,10,9,9,7,10,2
2,Baseline,The_Best_Man’s_Toast,3518.4636,0.5,4,3,2,1,2,3,3,3,2,0
3,BrainCEMISID,The_Best_Man’s_Toast,32413.2201,0.9,10,9,8,10,10,10,9,9,10,2
3,Brain_No_Memory,The_Best_Man’s_Toast,18728.2845,0.9,8,7,6,9,9,9,9,3,8,2
3,Brain_No_Emotion,The_Best_Man’s_Toast,27702.8124,0,9,9,9,10,10,9,8,8,10,2
3,Baseline,The_Best_Man’s_Toast,2808.7205,0.5,8,5,6,10,10,8,7,1,9,0
4,BrainCEMISID,The_Best_Man’s_Toast,32012.8635,0.85,9,8,10,2,10,9,9,3,10,2
4,Brain_No_Memory,The_Best_Man’s_Toast,18191.4572,0.85,1,3,4,0,0,2,6,2,2,2
4,Brain_No_Emotion,The_Best_Man’s_Toast,27777.4713,0,8,8,9,4,9,4,8,5,9,2
4,Baseline,The_Best_Man’s_Toast,3704.3281,0.5,2,2,1,2,1,1,1,1,2,0
5,BrainCEMISID,The_Best_Man’s_Toast,31773.9727,0.9,9,8,9,6,10,10,9,4,10,2
5,Brain_No_Memory,The_Best_Man’s_Toast,18105.3224,0.9,8,10,9,5,9,10,9,5,9,2
5,Brain_No_Emotion,The_Best_Man’s_Toast,27420.3882,0,8,5,5,3,9,6,5,2,8,2
5,Baseline,The_Best_Man’s_Toast,3583.4902,0.5,2,2,1,2,2,1,2,1,1,0
6,BrainCEMISID,The_Best_Man’s_Toast,31392.5426,0.9,8,7,6,5,9,4,8,7,8,2
6,Brain_No_Memory,The_Best_Man’s_Toast,17735.3578,0.9,8,10,5,4,9,10,9,4,9,2
6,Brain_No_Emotion,The_Best_Man’s_Toast,28046.3163,0,8,8,2,5,2,1,6,6,9,2
6,Baseline,The_Best_Man’s_Toast,3709.2694,0.5,9,8,6,1,8,7,8,9,10,0
7,BrainCEMISID,The_Best_Man’s_Toast,31514.7199,0.75,9,8,9,2,7,10,9,3,9,2
7,Brain_No_Memory,The_Best_Man’s_Toast,18150.2861,0.75,8,3,8,2,2,8,8,2,6,2
7,Brain_No_Emotion,The_Best_Man’s_Toast,27564.6227,0,10,7,10,4,4,9,9,3,9,2
7,Baseline,The_Best_Man’s_Toast,2844.3982,0.5,5,2,3,1,2,4,6,1,3,0
8,BrainCEMISID,The_Best_Man’s_Toast,34591.2572,0.9,8,7,8,7,9,9,8,4,9,2
8,Brain_No_Memory,The_Best_Man’s_Toast,20974.4175,0.9,1,1,2,5,1,4,6,3,1,2
8,Brain_No_Emotion,The_Best_Man’s_Toast,29759.161,0,8,9,9,7,10,8,7,4,9,2
8,Baseline,The_Best_Man’s_Toast,3571.3864,0.5,2,1,1,3,1,1,1,2,1,0
9,BrainCEMISID,The_Best_Man’s_Toast,35542.5014,0.9,9,7,9,10,10,10,8,4,10,2
9,Brain_No_Memory,The_Best_Man’s_Toast,18171.892,0.9,6,5,6,6,7,9,7,3,6,2
9,Brain_No_Emotion,The_Best_Man’s_Toast,27821.2877,0,3,3,3,1,3,2,0,1,3,2
9,Baseline,The_Best_Man’s_Toast,3756.6955,0.5,2,1,1,1,1,1,2,1,1,0
10,BrainCEMISID,The_Best_Man’s_Toast,31745.3076,0.9,10,8,7,10,10,10,9,3,10,2
10,Brain_No_Memory,The_Best_Man’s_Toast,17758.2498,0.9,2,3,3,0,2,3,1,1,2,2
10,Brain_No_Emotion,The_Best_Man’s_Toast,27208.8184,0,3,3,3,1,3,2,0,1,3,2
10,Baseline,The_Best_Man’s_Toast,3175.0533,0.5,3,3,3,1,3,3,1,1,3,0
11,BrainCEMISID,The_Best_Man’s_Toast,31710.8331,0.85,10,10,10,9,10,10,9,4,10,2
11,Brain_No_Memory,The_Best_Man’s_Toast,18149.5575,0.85,2,3,3,0,2,3,1,1,2,2
11,Brain_No_Emotion,The_Best_Man’s_Toast,27370.2326,0,9,10,10,8,10,9,8,4,10,2
11,Baseline,The_Best_Man’s_Toast,2902.939,0.5,5,3,2,1,4,1,2,1,5,0
12,BrainCEMISID,The_Best_Man’s_Toast,30800.1956,0.75,9,7,7,4,8,9,8,5,9,2
12,Brain_No_Memory,The_Best_Man’s_Toast,17560.0937,0.75,8,7,8,2,8,10,8,4,8,2
12,Brain_No_Emotion,The_Best_Man’s_Toast,27608.3581,0,8,6,5,3,7,5,4,3,7,2
12,Baseline,The_Best_Man’s_Toast,3294.3484,0.5,6,3,2,2,3,2,2,2,3,0
13,BrainCEMISID,The_Best_Man’s_Toast,32863.8263,0.8,9,10,9,7,10,9,9,2,10,2
13,Brain_No_Memory,The_Best_Man’s_Toast,18696.7402,0.8,7,6,7,1,6,9,7,1,7,2
13,Brain_No_Emotion,The_Best_Man’s_Toast,28187.9069,0,8,7,6,5,9,8,7,3,9,2
13,Baseline,The_Best_Man’s_Toast,3770.884,0.5,3,3,1,6,1,1,2,1,3,0
1,BrainCEMISID,The_Alithia-7_Pressure_Breach,29966.4611,0.3,9,8,4,10,10,8,7,1,9,2
1,Brain_No_Memory,The_Alithia-7_Pressure_Breach,17565.5062,0.3,8,7,4,9,6,7,6,2,8,2
1,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,25032.1475,0,9,10,9,10,10,7,6,1,10,2
1,Baseline,The_Alithia-7_Pressure_Breach,2847.0764,0.5,8,7,3,10,6,2,2,1,7,0
2,BrainCEMISID,The_Alithia-7_Pressure_Breach,31068.2487,0.55,8,4,3,7,8,6,3,3,7,2
2,Brain_No_Memory,The_Alithia-7_Pressure_Breach,18701.3247,0.55,7,5,4,3,6,9,8,4,7,2
2,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,26637.8758,0,9,6,5,5,8,8,6,6,9,2
2,Baseline,The_Alithia-7_Pressure_Breach,3758.4153,0.5,6,5,2,6,4,2,3,5,4,0
3,BrainCEMISID,The_Alithia-7_Pressure_Breach,31523.4527,0.8,8,4,5,9,9,9,8,5,8,2
3,Brain_No_Memory,The_Alithia-7_Pressure_Breach,17684.3317,0.8,6,1,2,8,9,9,7,3,1,2
3,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,27720.1963,0,9,6,8,9,10,8,7,5,9,2
3,Baseline,The_Alithia-7_Pressure_Breach,3916.8738,0.5,4,2,1,3,2,1,2,1,3,0
4,BrainCEMISID,The_Alithia-7_Pressure_Breach,31391.1352,0.9,8,6,3,3,9,5,3,3,8,2
4,Brain_No_Memory,The_Alithia-7_Pressure_Breach,18095.0074,0.9,7,7,5,3,7,5,5,3,6,2
4,Brain_No_Emotion,The_Alithia-7_Pressure_Breach,26239.5952,0,8,8,6,9,9,6,3,4,8,2
