step_id,model_type,scenario_id,latency_ms,emotional_valence,coherence_score,planning_effectiveness,behavioral_alignment,fact_recall,rule_adherence,persona_consistency,emotional_trajectory,sensory_integration,decision_consistency,memory_hits
6,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,27894.9373,0,9,9,10,8,10,8,8,4,10,2
6,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,3725.6342,0.5,9,8,5,7,10,4,6,3,9,0
7,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,38153.5128,0.9,9,7,10,9,3,9,9,4,9,2
7,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,17218.9703,0.9,6,4,8,9,4,8,9,4,6,2
7,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,28475.3546,0,8,6,8,10,7,7,4,4,8,2
7,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,5240.4754,0.5,5,4,3,4,5,1,6,1,4,0
8,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,31940.6176,0.9,3,1,1,10,2,1,2,5,3,2
8,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,17198.1151,0.9,9,9,10,9,9,10,9,7,9,2
8,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,28578.2593,0,8,6,7,9,7,8,7,6,8,2
8,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,4901.9036,0.5,3,4,7,9,8,3,6,8,4,0
9,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,31539.5125,0.9,8,9,9,7,10,9,9,2,9,2
9,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,19398.6148,0.85,8,9,10,7,8,10,9,4,9,2
9,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,28159.3778,0,8,2,6,8,8,5,5,4,8,2
9,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,5326.6395,0.5,9,8,6,9,9,3,4,2,9,0
10,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,32162.8775,1,8,2,4,9,10,9,8,3,5,2
10,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,19301.9171,1,7,7,6,1,7,8,8,1,8,2
10,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,30421.9827,0,3,2,4,8,10,7,4,3,4,2
10,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,5181.1373,0.5,4,3,1,6,5,1,1,2,5,0
11,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,37667.6439,1,7,2,2,5,2,8,6,3,1,2
11,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,17737.5892,1,3,1,2,5,1,5,4,2,1,2
11,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,28165.0657,0,8,5,7,3,7,3,1,1,9,2
11,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,4937.5356,0.5,2,2,3,9,2,9,7,7,1,0
12,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,31738.7785,0.95,8,9,5,7,10,8,4,1,9,2
12,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,18373.8799,0.95,7,8,3,6,8,7,3,1,8,2
12,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,27499.9775,0,7,5,2,8,8,3,1,1,8,2
12,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,5013.8604,0.5,7,6,1,10,4,2,1,7,4,0
13,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,34878.9214,1,9,9,8,7,10,10,9,3,10,2
13,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,19904.2268,1,8,6,3,4,9,9,7,3,8,2
13,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,33974.5418,0,9,9,10,7,10,8,8,3,10,2
13,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,4776.0086,0.5,2,2,3,7,4,8,5,3,6,0
1,BrainCEMISID,The_High-Pressure_Monday_Morning,28759.6957,0.35,9,8,9,10,10,9,8,2,9,2
1,Brain_No_Memory,The_High-Pressure_Monday_Morning,20102.0738,0.35,9,10,10,9,9,10,9,2,9,2
1,Brain_No_Emotion,The_High-Pressure_Monday_Morning,25320.3296,0,10,10,10,10,10,8,8,2,10,2
1,Baseline,The_High-Pressure_Monday_Morning,3963.0024,0.5,7,6,4,10,10,2,2,1,5,0
2,BrainCEMISID,The_High-Pressure_Monday_Morning,35690.4892,0.6,9,7,2,6,3,4,2,1,6,2
2,Brain_No_Memory,The_High-Pressure_Monday_Morning,20672.8219,0.6,7,5,2,9,5,3,2,1,3,2
2,Brain_No_Emotion,The_High-Pressure_Monday_Morning,27311.0909,0,9,9,3,10,8,5,2,2,9,2
2,Baseline,The_High-Pressure_Monday_Morning,3840.4679,0.5,9,8,2,10,3,2,1,1,9,0
3,BrainCEMISID,The_High-Pressure_Monday_Morning,31743.5391,0.75,9,8,10,10,10,10,10,8,10,2
3,Brain_No_Memory,The_High-Pressure_Monday_Morning,17651.1553,0.75,9,7,9,7,9,10,10,7,9,2
3,Brain_No_Emotion,The_High-Pressure_Monday_Morning,29470.5887,0,10,8,5,7,10,9,7,5,10,2
3,Baseline,The_High-Pressure_Monday_Morning,4750.5826,0.5,5,4,1,5,2,1,1,3,2,0
4,BrainCEMISID,The_High-Pressure_Monday_Morning,33299.3744,0.75,9,7,7,10,10,9,6,4,9,2
4,Brain_No_Memory,The_High-Pressure_Monday_Morning,22004.7007,0.75,8,8,8,8,9,9,8,4,8,2
4,Brain_No_Emotion,The_High-Pressure_Monday_Morning,29059.3096,0,7,3,3,10,10,4,2,2,5,2
4,Baseline,The_High-Pressure_Monday_Morning,5073.356,0.5,2,2,1,2,1,1,1,1,2,0
5,BrainCEMISID,The_High-Pressure_Monday_Morning,31936.4693,0.8,7,6,1,10,1,8,7,1,4,2
5,Brain_No_Memory,The_High-Pressure_Monday_Morning,20591.6538,0.8,7,7,3,9,9,9,8,1,8,2
5,Brain_No_Emotion,The_High-Pressure_Monday_Morning,27764.0595,0,10,10,10,10,10,8,8,4,10,2
5,Baseline,The_High-Pressure_Monday_Morning,5090.1332,0.5,9,7,3,5,6,10,9,6,9,0
6,BrainCEMISID,The_High-Pressure_Monday_Morning,31657.8042,0.8,9,8,6,6,9,10,10,3,10,2
6,Brain_No_Memory,The_High-Pressure_Monday_Morning,19432.8665,0.8,8,6,4,0,4,10,9,2,8,2
6,Brain_No_Emotion,The_High-Pressure_Monday_Morning,27356.9467,0,9,8,8,2,9,9,8,4,9,2
6,Baseline,The_High-Pressure_Monday_Morning,4909.2853,0.5,9,5,2,2,3,10,7,3,8,0
7,BrainCEMISID,The_High-Pressure_Monday_Morning,31344.8263,0.9,9,6,7,6,8,9,8,2,8,2
7,Brain_No_Memory,The_High-Pressure_Monday_Morning,18767.37,0.9,7,2,5,9,5,9,7,2,2,2
7,Brain_No_Emotion,The_High-Pressure_Monday_Morning,27980.1266,0,3,2,3,5,1,1,3,1,2,2
7,Baseline,The_High-Pressure_Monday_Morning,4807.7979,0.5,4,3,2,7,3,1,3,2,3,0
8,BrainCEMISID,The_High-Pressure_Monday_Morning,33608.6933,0.9,8,5,3,1,1,8,8,4,7,2
8,Brain_No_Memory,The_High-Pressure_Monday_Morning,24407.1933,0.9,8,7,8,2,3,10,10,5,8,2
8,Brain_No_Emotion,The_High-Pressure_Monday_Morning,29485.1033,0,10,9,10,8,10,9,9,6,10,2
8,Baseline,The_High-Pressure_Monday_Morning,5305.8551,0.5,3,3,3,1,3,3,1,1,3,0
9,BrainCEMISID,The_High-Pressure_Monday_Morning,77628.0148,1,8,4,4,5,7,7,6,2,8,2
9,Brain_No_Memory,The_High-Pressure_Monday_Morning,21071.2422,1,8,6,5,3,5,9,8,4,7,2
9,Brain_No_Emotion,The_High-Pressure_Monday_Morning,28382.2796,0,9,7,4,8,8,2,5,5,8,2
9,Baseline,The_High-Pressure_Monday_Morning,5101.9895,0.5,7,4,2,5,6,2,3,1,5,0
10,BrainCEMISID,The_High-Pressure_Monday_Morning,39036.0475,0.95,9,9,10,8,10,9,8,3,10,2
10,Brain_No_Memory,The_High-Pressure_Monday_Morning,20477.5116,0.95,9,10,10,9,9,10,9,4,9,2
10,Brain_No_Emotion,The_High-Pressure_Monday_Morning,28892.1682,0,4,2,2,1,1,5,5,3,2,2
10,Baseline,The_High-Pressure_Monday_Morning,5094.6624,0.5,3,5,6,4,9,2,2,1,6,0
11,BrainCEMISID,The_High-Pressure_Monday_Morning,33609.6369,1,8,7,3,1,3,5,4,4,5,2
11,Brain_No_Memory,The_High-Pressure_Monday_Morning,19237.7317,1,7,7,5,2,6,6,6,2,6,2
11,Brain_No_Emotion,The_High-Pressure_Monday_Morning,28600.8143,0,9,7,6,2,9,8,7,3,8,2
11,Baseline,The_High-Pressure_Monday_Morning,5138.8354,0.5,5,4,1,1,2,1,1,1,2,0
12,BrainCEMISID,The_High-Pressure_Monday_Morning,34015.9814,1,3,4,2,6,2,5,4,1,2,2
12,Brain_No_Memory,The_High-Pressure_Monday_Morning,18548.8828,1,2,4,3,8,1,4,5,1,1,2
12,Brain_No_Emotion,The_High-Pressure_Monday_Morning,28718.3182,0,2,3,3,8,3,4,3,1,2,2
12,Baseline,The_High-Pressure_Monday_Morning,5011.1535,0.5,2,3,2,6,3,3,3,1,2,0
13,BrainCEMISID,The_High-Pressure_Monday_Morning,32586.0376,0.8,4,5,3,9,4,9,5,3,7,2
13,Brain_No_Memory,The_High-Pressure_Monday_Morning,19579.2105,0.8,3,2,3,3,1,8,4,4,6,2
13,Brain_No_Emotion,The_High-Pressure_Monday_Morning,28395.279,0,4,3,8,8,3,8,7,3,7,2
13,Baseline,The_High-Pressure_Monday_Morning,5220.0818,0.5,3,3,2,4,2,4,3,3,3,0
1,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,31842.012,0.4,10,8,4,6,10,9,7,1,10,2
1,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,17982.1751,0.4,9,10,10,9,9,10,9,1,9,2
1,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,28039.3762,0,9,8,4,7,6,8,7,1,9,2
1,Baseline,Municipal_Data_Center_Zero-Day_Response,4343.5462,0.5,9,8,9,10,10,8,8,3,9,0
2,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,35569.6232,0.7,9,5,4,8,4,10,9,4,9,2
2,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,19284.0195,0.7,8,4,4,6,6,9,8,4,6,2
2,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,25947.2579,0,9,5,4,7,4,8,7,7,8,2
2,Baseline,Municipal_Data_Center_Zero-Day_Response,5126.7753,0.5,7,5,2,6,2,2,4,5,5,0
3,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,32091.3004,0.9,10,9,9,7,10,10,9,1,10,2
3,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,18683.117,0.9,9,9,10,6,9,10,10,2,9,2
3,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,27721.9563,0,10,9,10,8,10,9,9,1,10,2
3,Baseline,Municipal_Data_Center_Zero-Day_Response,4243.8546,0.5,9,7,7,5,10,5,5,1,10,0
4,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,30608.736,0.9,9,8,8,7,9,9,8,7,9,2
4,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,18708.7523,0.9,7,4,3,4,2,8,8,9,3,2
4,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,26549.8438,0,9,7,5,6,6,7,7,6,8,2
4,Baseline,Municipal_Data_Center_Zero-Day_Response,4942.2031,0.5,8,7,6,2,8,5,4,3,9,0
5,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,35296.2006,1,5,1,1,6,1,8,4,2,2,2
5,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,23197.8792,1,5,1,1,6,0,8,4,3,1,2
5,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,31925.8414,0,7,1,1,6,1,7,4,4,1,2
5,Baseline,Municipal_Data_Center_Zero-Day_Response,4673.3697,0.5,4,2,1,6,1,1,2,4,1,0
6,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,33246.6147,1,9,7,2,8,3,9,8,5,9,2
6,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,17651.8593,1,7,3,3,7,3,9,8,3,7,2
6,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,25834.0559,0,8,4,1,9,2,7,6,3,7,2
6,Baseline,Municipal_Data_Center_Zero-Day_Response,4805.7882,0.5,6,4,2,6,2,9,8,7,5,0
7,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,32102.2182,1,8,7,8,4,9,9,8,1,9,2
7,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,18596.8656,1,9,9,10,9,9,9,8,1,9,2
7,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,26535.7941,0,6,4,8,5,9,7,6,1,9,2
7,Baseline,Municipal_Data_Center_Zero-Day_Response,4761.3868,0.5,6,4,5,8,7,2,2,1,9,0
8,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,32204.0548,1,9,4,5,10,6,8,8,9,7,2
8,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,18945.3167,1,9,9,10,9,9,10,9,7,9,2
8,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,29752.8128,0,9,3,5,10,5,9,9,9,4,2
8,Baseline,Municipal_Data_Center_Zero-Day_Response,4764.5251,0.5,4,2,1,3,1,1,2,1,2,0
9,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,36246.4259,1,7,2,3,4,2,7,4,1,5,2
9,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,17822.826,1,6,4,5,4,2,8,6,1,6,2
9,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,26079.8062,0,7,3,4,6,2,7,2,2,5,2
9,Baseline,Municipal_Data_Center_Zero-Day_Response,4879.145,0.5,3,4,5,8,3,2,3,2,3,0
10,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,41139.1283,1,9,10,10,10,10,10,9,2,10,2
10,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,29265.6848,1,9,10,9,9,9,9,9,1,9,2
10,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,31524.5042,0,10,10,10,10,10,8,8,1,10,2
10,Baseline,Municipal_Data_Center_Zero-Day_Response,4116.5283,0.5,10,10,10,10,10,8,8,5,10,0
11,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,32442.3778,1,9,10,10,5,10,10,10,3,10,2
11,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,18957.019,1,9,10,10,9,9,10,10,6,9,2
11,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,26877.4574,0,10,10,10,3,10,8,7,2,10,2
11,Baseline,Municipal_Data_Center_Zero-Day_Response,4714.9674,0.5,2,3,2,4,2,1,2,1,1,0
12,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,33808.7317,0.9,6,5,7,1,7,9,7,3,8,2
12,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,18668.0226,0.9,7,7,7,0,7,9,7,2,8,2
12,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,28057.1375,0,8,5,7,1,8,8,7,3,8,2
12,Baseline,Municipal_Data_Center_Zero-Day_Response,5078.1653,0.5,10,8,9,7,10,10,9,4,10,0
13,BrainCEMISID,Municipal_Data_Center_Zero-Day_Response,33030.829,0.85,7,5,3,1,4,6,5,3,7,2
13,Brain_No_Memory,Municipal_Data_Center_Zero-Day_Response,17671.7352,0.85,7,5,4,1,6,8,7,3,5,2
13,Brain_No_Emotion,Municipal_Data_Center_Zero-Day_Response,28932.7102,0,8,5,3,4,5,5,4,2,4,2
13,Baseline,Municipal_Data_Center_Zero-Day_Response,4831.801,0.5,4,2,2,1,1,1,3,1,3,0
1,BrainCEMISID,The_Thanksgiving_Reconciliation,39141.4515,0.35,8,7,8,10,10,7,8,1,9,2
1,Brain_No_Memory,The_Thanksgiving_Reconciliation,24653.0833,0.35,8,10,8,9,9,8,7,1,9,2
1,Brain_No_Emotion,The_Thanksgiving_Reconciliation,37833.6415,0,10,10,10,10,10,9,8,3,10,2
1,Baseline,The_Thanksgiving_Reconciliation,4471.9382,0.5,7,10,9,10,10,10,9,2,10,0
2,BrainCEMISID,The_Thanksgiving_Reconciliation,40232.3032,0.55,8,6,5,1,7,9,6,4,8,2
2,Brain_No_Memory,The_Thanksgiving_Reconciliation,23117.2885,0.55,8,7,8,5,8,10,8,4,8,2
2,Brain_No_Emotion,The_Thanksgiving_Reconciliation,27982.3538,0,9,7,8,1,5,8,7,4,8,2
2,Baseline,The_Thanksgiving_Reconciliation,4920.5028,0.5,3,4,3,2,2,1,5,3,5,0
3,BrainCEMISID,The_Thanksgiving_Reconciliation,29935.7156,0.55,10,10,10,8,10,10,9,2,10,2
3,Brain_No_Memory,The_Thanksgiving_Reconciliation,16917.6181,0.55,9,10,10,4,9,10,9,6,9,2
3,Brain_No_Emotion,The_Thanksgiving_Reconciliation,26211.5192,0,2,5,3,5,10,0,1,2,8,2
3,Baseline,The_Thanksgiving_Reconciliation,4076.1669,0.5,9,5,4,4,3,6,5,2,5,0
4,BrainCEMISID,The_Thanksgiving_Reconciliation,34347.307,0.65,10,9,9,4,10,10,9,3,10,2
4,Brain_No_Memory,The_Thanksgiving_Reconciliation,23113.0649,0.7,8,7,6,4,8,10,9,3,9,2
4,Brain_No_Emotion,The_Thanksgiving_Reconciliation,28481.7305,0,9,8,9,3,9,9,7,2,9,2
4,Baseline,The_Thanksgiving_Reconciliation,5102.5746,0.5,9,8,7,2,9,8,8,2,9,0
5,BrainCEMISID,The_Thanksgiving_Reconciliation,31300.0579,0.8,8,7,10,2,10,7,6,3,10,2
5,Brain_No_Memory,The_Thanksgiving_Reconciliation,23037.4853,0.85,8,9,10,2,9,10,9,5,9,2
5,Brain_No_Emotion,The_Thanksgiving_Reconciliation,27371.0337,0,8,9,10,2,10,8,6,1,10,2
5,Baseline,The_Thanksgiving_Reconciliation,4195.9727,0.5,5,4,5,2,10,1,3,2,6,0
6,BrainCEMISID,The_Thanksgiving_Reconciliation,30646.2169,0.85,9,4,9,6,8,9,8,4,8,2
6,Brain_No_Memory,The_Thanksgiving_Reconciliation,17877.3971,0.85,5,2,4,6,3,9,9,6,7,2
6,Brain_No_Emotion,The_Thanksgiving_Reconciliation,27336.7357,0,7,3,2,4,2,7,5,5,7,2
6,Baseline,The_Thanksgiving_Reconciliation,4771.4121,0.5,4,3,1,5,1,1,2,3,4,0
7,BrainCEMISID,The_Thanksgiving_Reconciliation,31460.5576,0.9,3,2,2,4,2,4,3,1,3,2
7,Brain_No_Memory,The_Thanksgiving_Reconciliation,21030.6191,0.9,3,3,2,3,1,3,5,1,3,2
7,Brain_No_Emotion,The_Thanksgiving_Reconciliation,30435.0469,0,8,6,4,5,2,1,5,2,4,2
7,Baseline,The_Thanksgiving_Reconciliation,4942.6906,0.5,4,6,3,9,6,7,7,4,8,0
8,BrainCEMISID,The_Thanksgiving_Reconciliation,31003.8012,0.95,9,8,5,7,10,4,7,3,9,2
8,Brain_No_Memory,The_Thanksgiving_Reconciliation,18471.6255,0.9,9,10,10,9,9,10,9,9,9,2
8,Brain_No_Emotion,The_Thanksgiving_Reconciliation,29559.0946,0,8,7,6,8,10,5,6,3,9,2
8,Baseline,The_Thanksgiving_Reconciliation,4825.4909,0.5,8,5,2,7,10,2,3,4,9,0
9,BrainCEMISID,The_Thanksgiving_Reconciliation,33178.9921,0.9,8,4,9,6,7,9,9,3,10,2
9,Brain_No_Memory,The_Thanksgiving_Reconciliation,18558.8699,0.9,1,2,3,0,1,8,7,1,4,2
9,Brain_No_Emotion,The_Thanksgiving_Reconciliation,26943.6888,0,9,10,10,4,10,9,9,1,10,2
9,Baseline,The_Thanksgiving_Reconciliation,4677.4088,0.5,6,4,1,2,3,1,1,1,2,0
10,BrainCEMISID,The_Thanksgiving_Reconciliation,30654.2433,0.9,3,2,1,7,1,1,3,4,3,2
10,Brain_No_Memory,The_Thanksgiving_Reconciliation,18174.2274,1,9,3,1,1,0,10,10,3,1,2
10,Brain_No_Emotion,The_Thanksgiving_Reconciliation,31337.5743,0,5,7,4,8,9,0,3,9,8,2
10,Baseline,The_Thanksgiving_Reconciliation,5121.8712,0.5,10,5,2,10,2,10,10,10,10,0
11,BrainCEMISID,The_Thanksgiving_Reconciliation,37014.0567,1,10,10,10,7,10,10,9,1,10,2
11,Brain_No_Memory,The_Thanksgiving_Reconciliation,18199.002,1,8,9,10,7,9,10,9,3,9,2
11,Brain_No_Emotion,The_Thanksgiving_Reconciliation,38318.8068,0,10,9,10,10,10,9,8,4,10,2
11,Baseline,The_Thanksgiving_Reconciliation,4849.1822,0.5,4,3,2,6,2,1,3,1,2,0
12,BrainCEMISID,The_Thanksgiving_Reconciliation,39624.3487,0.9,8,6,3,1,4,2,4,6,5,2
12,Brain_No_Memory,The_Thanksgiving_Reconciliation,24304.8785,0.9,8,9,9,0,9,10,10,5,9,2
12,Brain_No_Emotion,The_Thanksgiving_Reconciliation,26002.0349,0,5,3,3,1,5,1,3,4,3,2
12,Baseline,The_Thanksgiving_Reconciliation,4665.2935,0.5,10,10,10,3,10,10,10,4,10,0
13,BrainCEMISID,The_Thanksgiving_Reconciliation,31688.5889,0.9,8,5,5,6,7,8,6,1,8,2
13,Brain_No_Memory,The_Thanksgiving_Reconciliation,18129.5418,0.9,7,5,7,5,7,9,8,1,7,2
13,Brain_No_Emotion,The_Thanksgiving_Reconciliation,30233.2528,0,4,2,2,7,2,7,3,1,3,2
13,Baseline,The_Thanksgiving_Reconciliation,4979.5974,0.5,10,9,10,8,10,10,9,5,10,0
1,BrainCEMISID,Operation:_Stratosphere_Zero,46722.3015,0.35,8,8,5,10,9,6,5,1,8,2
1,Brain_No_Memory,Operation:_Stratosphere_Zero,35580.1677,0.35,8,10,5,9,9,7,7,1,9,2
1,Brain_No_Emotion,Operation:_Stratosphere_Zero,46736.0759,0,10,10,9,10,10,9,8,2,10,2
1,Baseline,Operation:_Stratosphere_Zero,12345.1961,0.5,10,9,9,10,10,6,5,1,10,0
2,BrainCEMISID,Operation:_Stratosphere_Zero,51063.5162,0.525,8,3,3,6,4,8,5,2,7,2
2,Brain_No_Memory,Operation:_Stratosphere_Zero,37225.4895,0.55,7,6,4,9,6,9,5,4,8,2
2,Brain_No_Emotion,Operation:_Stratosphere_Zero,48627.7095,0,8,3,4,8,7,8,3,2,7,2
2,Baseline,Operation:_Stratosphere_Zero,28507.8067,0.5,4,5,2,4,3,1,2,1,5,0
3,BrainCEMISID,Operation:_Stratosphere_Zero,56137.831,0.622,8,6,3,7,4,7,6,5,8,2
3,Brain_No_Memory,Operation:_Stratosphere_Zero,38799.5922,0.622,3,3,1,0,1,6,5,4,2,2
3,Brain_No_Emotion,Operation:_Stratosphere_Zero,51363.5815,0,8,5,2,7,3,7,5,4,7,2
3,Baseline,Operation:_Stratosphere_Zero,43879.7599,0.5,5,3,1,2,1,1,1,2,4,0
4,BrainCEMISID,Operation:_Stratosphere_Zero,62874.1521,0.7096,8,5,6,9,10,7,5,1,9,2
4,Brain_No_Memory,Operation:_Stratosphere_Zero,25773.2228,0.7096,3,2,4,7,2,7,7,1,2,2
4,Brain_No_Emotion,Operation:_Stratosphere_Zero,48507.9729,0,8,7,6,10,10,6,4,1,9,2
4,Baseline,Operation:_Stratosphere_Zero,30755.8309,0.5,8,7,3,9,10,2,2,1,8,0
5,BrainCEMISID,Operation:_Stratosphere_Zero,57283.0405,0.75778,8,5,6,10,8,9,8,1,8,2
5,Brain_No_Memory,Operation:_Stratosphere_Zero,36546.6417,0.75778,3,5,4,2,4,8,8,6,5,2
5,Brain_No_Emotion,Operation:_Stratosphere_Zero,52263.8931,0,9,7,6,10,9,7,6,1,9,2
5,Baseline,Operation:_Stratosphere_Zero,26415.6494,0.5,4,3,1,6,2,1,1,1,2,0
6,BrainCEMISID,Operation:_Stratosphere_Zero,50962.6496,0.705835,9,5,4,10,8,9,7,4,8,2
6,Brain_No_Memory,Operation:_Stratosphere_Zero,23857.7578,0.705835,8,5,3,7,9,9,5,6,7,2
6,Brain_No_Emotion,Operation:_Stratosphere_Zero,49408.071,0,2,4,2,7,3,4,2,3,4,2
6,Baseline,Operation:_Stratosphere_Zero,20744.816,0.5,2,1,1,3,1,1,2,4,1,0
7,BrainCEMISID,Operation:_Stratosphere_Zero,63017.8782,0.733501,10,10,9,9,10,10,9,2,10,2
7,Brain_No_Memory,Operation:_Stratosphere_Zero,41598.3475,0.733501,7,5,5,8,9,7,6,1,7,2
7,Brain_No_Emotion,Operation:_Stratosphere_Zero,48658.5209,0,9,9,8,6,10,7,8,1,10,2
7,Baseline,Operation:_Stratosphere_Zero,40761.7891,0.5,6,2,3,8,3,9,7,6,3,0
8,BrainCEMISID,Operation:_Stratosphere_Zero,52561.1773,0.7917505,2,2,2,7,2,6,7,3,1,2
8,Brain_No_Memory,Operation:_Stratosphere_Zero,35110.351,0.7917505,8,9,8,7,9,9,9,1,9,2
8,Brain_No_Emotion,Operation:_Stratosphere_Zero,50338.2365,0,9,10,8,9,10,8,7,1,10,2
8,Baseline,Operation:_Stratosphere_Zero,7708.3212,0.5,9,6,4,8,10,1,2,1,10,0
9,BrainCEMISID,Operation:_Stratosphere_Zero,55614.7074,0.82087525,6,5,7,3,6,7,7,2,8,2
9,Brain_No_Memory,Operation:_Stratosphere_Zero,30673.1013,0.82087525,8,6,8,7,9,9,8,1,8,2
9,Brain_No_Emotion,Operation:_Stratosphere_Zero,52051.8543,0,8,5,7,6,9,8,7,3,8,2
9,Baseline,Operation:_Stratosphere_Zero,32443.4779,0.5,4,3,1,3,2,1,1,1,2,0
10,BrainCEMISID,Operation:_Stratosphere_Zero,49148.1035,0.835437625,7,4,3,8,7,6,5,3,6,2
10,Brain_No_Memory,Operation:_Stratosphere_Zero,36262.8455,0.835437625,5,2,2,2,1,8,7,3,2,2
10,Brain_No_Emotion,Operation:_Stratosphere_Zero,47941.9834,0,8,6,3,9,7,5,1,2,6,2
10,Baseline,Operation:_Stratosphere_Zero,39548.1784,0.5,2,1,1,5,1,1,2,4,1,0
11,BrainCEMISID,Operation:_Stratosphere_Zero,51778.9824,0.8427188125,4,3,2,1,3,8,7,3,2,2
11,Brain_No_Memory,Operation:_Stratosphere_Zero,33967.6248,0.8427188125,4,3,3,7,3,9,9,4,2,2
11,Brain_No_Emotion,Operation:_Stratosphere_Zero,50073.9266,0,7,4,5,2,8,4,3,2,8,2
11,Baseline,Operation:_Stratosphere_Zero,14850.6343,0.5,5,4,2,6,3,2,3,3,6,0
12,BrainCEMISID,Operation:_Stratosphere_Zero,55560.8965,0.7849031688,4,8,1,5,1,3,1,1,4,2
12,Brain_No_Memory,Operation:_Stratosphere_Zero,31432.3424,0.7849031688,7,9,1,6,1,5,1,8,8,2
12,Brain_No_Emotion,Operation:_Stratosphere_Zero,43314.2169,0,8,7,2,8,4,4,1,5,6,2
12,Baseline,Operation:_Stratosphere_Zero,28047.54,0.5,9,2,10,8,4,10,10,1,9,0
13,BrainCEMISID,Operation:_Stratosphere_Zero,41902.9063,0.7809419013,8,6,7,9,10,8,7,1,9,2
13,Brain_No_Memory,Operation:_Stratosphere_Zero,37322.3136,0.7809419013,8,7,6,9,9,9,7,1,8,2
